id,score,correct_answer,our_answer
VAL-1,1.0000039184205125,三个级别（0，1，2）。,三个级别（0，1，2）。
VAL-2,0.7076422733275805,value大于10000时。,大于10000时会触发危急颜色模式。
VAL-3,0.735011359712015,`IsReal()` 用来查询是否是 `FLOAT` 或 `DOUBLE` 类型的数据。,判断数据是否为实数类型。
VAL-4,0.9999934496302467,200,200
VAL-5,0.6290593210678219,是的,不是。边关联的两个点的字段并不一定是点的主键字段，只是为了识别而设定的占位字段。
VAL-6,0.5696173813953426,Deletes current edge. The iterator will point to the next out edge if there is any.,删除边类型及其所有边数据。
VAL-7,0.7290472944326579,"单机模式下，调整配置文件src/server/lgraph_standalone.json，其中verbose配置项控制日志等级，verbose可以设置为0,1,2，对应日志等级可以参考src/server/lgraph_server.cpp中115行至128行。",通过相关文档可以查找TuGraph-DB的日志等级调整方法。
VAL-8,0.7918833930664962,“memory”是内存，是用于监控服务性能的重要指标之一。,“memory”指的是服务器的内存状态，包括图数据库应用程序的内存使用量、服务器可用内存和服务器总内存。
VAL-9,0.8405594197239723,每次执行查询的结果会追加至画布区域。,导入的数据会追加至画布区域。
VAL-10,0.6358330458522541,邮件地址为tugraph@service.alipay.com。,通过邮件与我们联系，具体联系方式请查阅相关的联系方式页面。
VAL-11,0.540371949340927,暂不支持,是的，边索引支持查询加速。
VAL-12,0.7094210606961131,TuGraph Monitor负责收集性能指标并将数据包装为Prometheus可以使用的格式。,TuGraph Monitor 的主要功能是监控和管理 TuGraph 数据库的运行状态、性能指标和资源使用情况。
VAL-13,0.896924020280655,管理工具为lgraph_peer。,`lgraph_peer`工具
VAL-14,0.6507318909791888,通过设置refresh_time和expire_time参数均为0。,"在POST请求中，将`refresh_time`和`expire_time`参数都设置为0，即可将Token的有效期修改为无限期。请求示例如下：

```json
{
    ""Authorization"" : ""Bearer <your_token>"",
    ""refresh_time"": 0,
    ""expire_time"": 0
}
```"
VAL-15,0.8298770881286194,蚂蚁集团与清华大学联合研发的。,蚂蚁集团与清华大学。
